PERIOD,DATE,VERSION,RATIO
202401,2023-04-01,Budget FY2024,0.033333333
202401,2023-04-02,Budget FY2024,0.033333333
202401,2023-04-03,Budget FY2024,0.033333333
202401,2023-04-04,Budget FY2024,0.033333333
202401,2023-04-05,Budget FY2024,0.033333333
202401,2023-04-06,Budget FY2024,0.033333333
202401,2023-04-07,Budget FY2024,0.033333333
202401,2023-04-08,Budget FY2024,0.033333333
202401,2023-04-09,Budget FY2024,0.033333333
202401,2023-04-10,Budget FY2024,0.033333333
202401,2023-04-11,Budget FY2024,0.033333333
202401,2023-04-12,Budget FY2024,0.033333333
202401,2023-04-13,Budget FY2024,0.033333333
202401,2023-04-14,Budget FY2024,0.033333333
202401,2023-04-15,Budget FY2024,0.033333333
202401,2023-04-16,Budget FY2024,0.033333333
202401,2023-04-17,Budget FY2024,0.033333333
202401,2023-04-18,Budget FY2024,0.033333333
202401,2023-04-19,Budget FY2024,0.033333333
202401,2023-04-20,Budget FY2024,0.033333333
202401,2023-04-21,Budget FY2024,0.033333333
202401,2023-04-22,Budget FY2024,0.033333333
202401,2023-04-23,Budget FY2024,0.033333333
202401,2023-04-24,Budget FY2024,0.033333333
202401,2023-04-25,Budget FY2024,0.033333333
202401,2023-04-26,Budget FY2024,0.033333333
202401,2023-04-27,Budget FY2024,0.033333333
202401,2023-04-28,Budget FY2024,0.033333333
202401,2023-04-29,Budget FY2024,0.033333333
202401,2023-04-30,Budget FY2024,0.033333333
202402,2023-05-01,Budget FY2024,0.032258065
202402,2023-05-02,Budget FY2024,0.032258065
202402,2023-05-03,Budget FY2024,0.032258065
202402,2023-05-04,Budget FY2024,0.032258065
202402,2023-05-05,Budget FY2024,0.032258065
202402,2023-05-06,Budget FY2024,0.032258065
202402,2023-05-07,Budget FY2024,0.032258065
202402,2023-05-08,Budget FY2024,0.032258065
202402,2023-05-09,Budget FY2024,0.032258065
202402,2023-05-10,Budget FY2024,0.032258065
202402,2023-05-11,Budget FY2024,0.032258065
202402,2023-05-12,Budget FY2024,0.032258065
202402,2023-05-13,Budget FY2024,0.032258065
202402,2023-05-14,Budget FY2024,0.032258065
202402,2023-05-15,Budget FY2024,0.032258065
202402,2023-05-16,Budget FY2024,0.032258065
202402,2023-05-17,Budget FY2024,0.032258065
202402,2023-05-18,Budget FY2024,0.032258065
202402,2023-05-19,Budget FY2024,0.032258065
202402,2023-05-20,Budget FY2024,0.032258065
202402,2023-05-21,Budget FY2024,0.032258065
202402,2023-05-22,Budget FY2024,0.032258065
202402,2023-05-23,Budget FY2024,0.032258065
202402,2023-05-24,Budget FY2024,0.032258065
202402,2023-05-25,Budget FY2024,0.032258065
202402,2023-05-26,Budget FY2024,0.032258065
202402,2023-05-27,Budget FY2024,0.032258065
202402,2023-05-28,Budget FY2024,0.032258065
202402,2023-05-29,Budget FY2024,0.032258065
202402,2023-05-30,Budget FY2024,0.032258065
202402,2023-05-31,Budget FY2024,0.032258065
202403,2023-06-01,Budget FY2024,0.033333333
202403,2023-06-02,Budget FY2024,0.033333333
202403,2023-06-03,Budget FY2024,0.033333333
202403,2023-06-04,Budget FY2024,0.033333333
202403,2023-06-05,Budget FY2024,0.033333333
202403,2023-06-06,Budget FY2024,0.033333333
202403,2023-06-07,Budget FY2024,0.033333333
202403,2023-06-08,Budget FY2024,0.033333333
202403,2023-06-09,Budget FY2024,0.033333333
202403,2023-06-10,Budget FY2024,0.033333333
202403,2023-06-11,Budget FY2024,0.033333333
202403,2023-06-12,Budget FY2024,0.033333333
202403,2023-06-13,Budget FY2024,0.033333333
202403,2023-06-14,Budget FY2024,0.033333333
202403,2023-06-15,Budget FY2024,0.033333333
202403,2023-06-16,Budget FY2024,0.033333333
202403,2023-06-17,Budget FY2024,0.033333333
202403,2023-06-18,Budget FY2024,0.033333333
202403,2023-06-19,Budget FY2024,0.033333333
202403,2023-06-20,Budget FY2024,0.033333333
202403,2023-06-21,Budget FY2024,0.033333333
202403,2023-06-22,Budget FY2024,0.033333333
202403,2023-06-23,Budget FY2024,0.033333333
202403,2023-06-24,Budget FY2024,0.033333333
202403,2023-06-25,Budget FY2024,0.033333333
202403,2023-06-26,Budget FY2024,0.033333333
202403,2023-06-27,Budget FY2024,0.033333333
202403,2023-06-28,Budget FY2024,0.033333333
202403,2023-06-29,Budget FY2024,0.033333333
202403,2023-06-30,Budget FY2024,0.033333333
202404,2023-07-01,Budget FY2024,0.032258065
202404,2023-07-02,Budget FY2024,0.032258065
202404,2023-07-03,Budget FY2024,0.032258065
202404,2023-07-04,Budget FY2024,0.032258065
202404,2023-07-05,Budget FY2024,0.032258065
202404,2023-07-06,Budget FY2024,0.032258065
202404,2023-07-07,Budget FY2024,0.032258065
202404,2023-07-08,Budget FY2024,0.032258065
202404,2023-07-09,Budget FY2024,0.032258065
202404,2023-07-10,Budget FY2024,0.032258065
202404,2023-07-11,Budget FY2024,0.032258065
202404,2023-07-12,Budget FY2024,0.032258065
202404,2023-07-13,Budget FY2024,0.032258065
202404,2023-07-14,Budget FY2024,0.032258065
202404,2023-07-15,Budget FY2024,0.032258065
202404,2023-07-16,Budget FY2024,0.032258065
202404,2023-07-17,Budget FY2024,0.032258065
202404,2023-07-18,Budget FY2024,0.032258065
202404,2023-07-19,Budget FY2024,0.032258065
202404,2023-07-20,Budget FY2024,0.032258065
202404,2023-07-21,Budget FY2024,0.032258065
202404,2023-07-22,Budget FY2024,0.032258065
202404,2023-07-23,Budget FY2024,0.032258065
202404,2023-07-24,Budget FY2024,0.032258065
202404,2023-07-25,Budget FY2024,0.032258065
202404,2023-07-26,Budget FY2024,0.032258065
202404,2023-07-27,Budget FY2024,0.032258065
202404,2023-07-28,Budget FY2024,0.032258065
202404,2023-07-29,Budget FY2024,0.032258065
202404,2023-07-30,Budget FY2024,0.032258065
202404,2023-07-31,Budget FY2024,0.032258065
202405,2023-08-01,Budget FY2024,0.032258065
202405,2023-08-02,Budget FY2024,0.032258065
202405,2023-08-03,Budget FY2024,0.032258065
202405,2023-08-04,Budget FY2024,0.032258065
202405,2023-08-05,Budget FY2024,0.032258065
202405,2023-08-06,Budget FY2024,0.032258065
202405,2023-08-07,Budget FY2024,0.032258065
202405,2023-08-08,Budget FY2024,0.032258065
202405,2023-08-09,Budget FY2024,0.032258065
202405,2023-08-10,Budget FY2024,0.032258065
202405,2023-08-11,Budget FY2024,0.032258065
202405,2023-08-12,Budget FY2024,0.032258065
202405,2023-08-13,Budget FY2024,0.032258065
202405,2023-08-14,Budget FY2024,0.032258065
202405,2023-08-15,Budget FY2024,0.032258065
202405,2023-08-16,Budget FY2024,0.032258065
202405,2023-08-17,Budget FY2024,0.032258065
202405,2023-08-18,Budget FY2024,0.032258065
202405,2023-08-19,Budget FY2024,0.032258065
202405,2023-08-20,Budget FY2024,0.032258065
202405,2023-08-21,Budget FY2024,0.032258065
202405,2023-08-22,Budget FY2024,0.032258065
202405,2023-08-23,Budget FY2024,0.032258065
202405,2023-08-24,Budget FY2024,0.032258065
202405,2023-08-25,Budget FY2024,0.032258065
202405,2023-08-26,Budget FY2024,0.032258065
202405,2023-08-27,Budget FY2024,0.032258065
202405,2023-08-28,Budget FY2024,0.032258065
202405,2023-08-29,Budget FY2024,0.032258065
202405,2023-08-30,Budget FY2024,0.032258065
202405,2023-08-31,Budget FY2024,0.032258065
202406,2023-09-01,Budget FY2024,0.033333333
202406,2023-09-02,Budget FY2024,0.033333333
202406,2023-09-03,Budget FY2024,0.033333333
202406,2023-09-04,Budget FY2024,0.033333333
202406,2023-09-05,Budget FY2024,0.033333333
202406,2023-09-06,Budget FY2024,0.033333333
202406,2023-09-07,Budget FY2024,0.033333333
202406,2023-09-08,Budget FY2024,0.033333333
202406,2023-09-09,Budget FY2024,0.033333333
202406,2023-09-10,Budget FY2024,0.033333333
202406,2023-09-11,Budget FY2024,0.033333333
202406,2023-09-12,Budget FY2024,0.033333333
202406,2023-09-13,Budget FY2024,0.033333333
202406,2023-09-14,Budget FY2024,0.033333333
202406,2023-09-15,Budget FY2024,0.033333333
202406,2023-09-16,Budget FY2024,0.033333333
202406,2023-09-17,Budget FY2024,0.033333333
202406,2023-09-18,Budget FY2024,0.033333333
202406,2023-09-19,Budget FY2024,0.033333333
202406,2023-09-20,Budget FY2024,0.033333333
202406,2023-09-21,Budget FY2024,0.033333333
202406,2023-09-22,Budget FY2024,0.033333333
202406,2023-09-23,Budget FY2024,0.033333333
202406,2023-09-24,Budget FY2024,0.033333333
202406,2023-09-25,Budget FY2024,0.033333333
202406,2023-09-26,Budget FY2024,0.033333333
202406,2023-09-27,Budget FY2024,0.033333333
202406,2023-09-28,Budget FY2024,0.033333333
202406,2023-09-29,Budget FY2024,0.033333333
202406,2023-09-30,Budget FY2024,0.033333333
202407,2023-10-01,Budget FY2024,0.032258065
202407,2023-10-02,Budget FY2024,0.032258065
202407,2023-10-03,Budget FY2024,0.032258065
202407,2023-10-04,Budget FY2024,0.032258065
202407,2023-10-05,Budget FY2024,0.032258065
202407,2023-10-06,Budget FY2024,0.032258065
202407,2023-10-07,Budget FY2024,0.032258065
202407,2023-10-08,Budget FY2024,0.032258065
202407,2023-10-09,Budget FY2024,0.032258065
202407,2023-10-10,Budget FY2024,0.032258065
202407,2023-10-11,Budget FY2024,0.032258065
202407,2023-10-12,Budget FY2024,0.032258065
202407,2023-10-13,Budget FY2024,0.032258065
202407,2023-10-14,Budget FY2024,0.032258065
202407,2023-10-15,Budget FY2024,0.032258065
202407,2023-10-16,Budget FY2024,0.032258065
202407,2023-10-17,Budget FY2024,0.032258065
202407,2023-10-18,Budget FY2024,0.032258065
202407,2023-10-19,Budget FY2024,0.032258065
202407,2023-10-20,Budget FY2024,0.032258065
202407,2023-10-21,Budget FY2024,0.032258065
202407,2023-10-22,Budget FY2024,0.032258065
202407,2023-10-23,Budget FY2024,0.032258065
202407,2023-10-24,Budget FY2024,0.032258065
202407,2023-10-25,Budget FY2024,0.032258065
202407,2023-10-26,Budget FY2024,0.032258065
202407,2023-10-27,Budget FY2024,0.032258065
202407,2023-10-28,Budget FY2024,0.032258065
202407,2023-10-29,Budget FY2024,0.032258065
202407,2023-10-30,Budget FY2024,0.032258065
202407,2023-10-31,Budget FY2024,0.032258065
202408,2023-11-01,Budget FY2024,0.033333333
202408,2023-11-02,Budget FY2024,0.033333333
202408,2023-11-03,Budget FY2024,0.033333333
202408,2023-11-04,Budget FY2024,0.033333333
202408,2023-11-05,Budget FY2024,0.033333333
202408,2023-11-06,Budget FY2024,0.033333333
202408,2023-11-07,Budget FY2024,0.033333333
202408,2023-11-08,Budget FY2024,0.033333333
202408,2023-11-09,Budget FY2024,0.033333333
202408,2023-11-10,Budget FY2024,0.033333333
202408,2023-11-11,Budget FY2024,0.033333333
202408,2023-11-12,Budget FY2024,0.033333333
202408,2023-11-13,Budget FY2024,0.033333333
202408,2023-11-14,Budget FY2024,0.033333333
202408,2023-11-15,Budget FY2024,0.033333333
202408,2023-11-16,Budget FY2024,0.033333333
202408,2023-11-17,Budget FY2024,0.033333333
202408,2023-11-18,Budget FY2024,0.033333333
202408,2023-11-19,Budget FY2024,0.033333333
202408,2023-11-20,Budget FY2024,0.033333333
202408,2023-11-21,Budget FY2024,0.033333333
202408,2023-11-22,Budget FY2024,0.033333333
202408,2023-11-23,Budget FY2024,0.033333333
202408,2023-11-24,Budget FY2024,0.033333333
202408,2023-11-25,Budget FY2024,0.033333333
202408,2023-11-26,Budget FY2024,0.033333333
202408,2023-11-27,Budget FY2024,0.033333333
202408,2023-11-28,Budget FY2024,0.033333333
202408,2023-11-29,Budget FY2024,0.033333333
202408,2023-11-30,Budget FY2024,0.033333333
202409,2023-12-01,Budget FY2024,0.032258065
202409,2023-12-02,Budget FY2024,0.032258065
202409,2023-12-03,Budget FY2024,0.032258065
202409,2023-12-04,Budget FY2024,0.032258065
202409,2023-12-05,Budget FY2024,0.032258065
202409,2023-12-06,Budget FY2024,0.032258065
202409,2023-12-07,Budget FY2024,0.032258065
202409,2023-12-08,Budget FY2024,0.032258065
202409,2023-12-09,Budget FY2024,0.032258065
202409,2023-12-10,Budget FY2024,0.032258065
202409,2023-12-11,Budget FY2024,0.032258065
202409,2023-12-12,Budget FY2024,0.032258065
202409,2023-12-13,Budget FY2024,0.032258065
202409,2023-12-14,Budget FY2024,0.032258065
202409,2023-12-15,Budget FY2024,0.032258065
202409,2023-12-16,Budget FY2024,0.032258065
202409,2023-12-17,Budget FY2024,0.032258065
202409,2023-12-18,Budget FY2024,0.032258065
202409,2023-12-19,Budget FY2024,0.032258065
202409,2023-12-20,Budget FY2024,0.032258065
202409,2023-12-21,Budget FY2024,0.032258065
202409,2023-12-22,Budget FY2024,0.032258065
202409,2023-12-23,Budget FY2024,0.032258065
202409,2023-12-24,Budget FY2024,0.032258065
202409,2023-12-25,Budget FY2024,0.032258065
202409,2023-12-26,Budget FY2024,0.032258065
202409,2023-12-27,Budget FY2024,0.032258065
202409,2023-12-28,Budget FY2024,0.032258065
202409,2023-12-29,Budget FY2024,0.032258065
202409,2023-12-30,Budget FY2024,0.032258065
202409,2023-12-31,Budget FY2024,0.032258065
202410,2024-01-01,Budget FY2024,0.032258065
202410,2024-01-02,Budget FY2024,0.032258065
202410,2024-01-03,Budget FY2024,0.032258065
202410,2024-01-04,Budget FY2024,0.032258065
202410,2024-01-05,Budget FY2024,0.032258065
202410,2024-01-06,Budget FY2024,0.032258065
202410,2024-01-07,Budget FY2024,0.032258065
202410,2024-01-08,Budget FY2024,0.032258065
202410,2024-01-09,Budget FY2024,0.032258065
202410,2024-01-10,Budget FY2024,0.032258065
202410,2024-01-11,Budget FY2024,0.032258065
202410,2024-01-12,Budget FY2024,0.032258065
202410,2024-01-13,Budget FY2024,0.032258065
202410,2024-01-14,Budget FY2024,0.032258065
202410,2024-01-15,Budget FY2024,0.032258065
202410,2024-01-16,Budget FY2024,0.032258065
202410,2024-01-17,Budget FY2024,0.032258065
202410,2024-01-18,Budget FY2024,0.032258065
202410,2024-01-19,Budget FY2024,0.032258065
202410,2024-01-20,Budget FY2024,0.032258065
202410,2024-01-21,Budget FY2024,0.032258065
202410,2024-01-22,Budget FY2024,0.032258065
202410,2024-01-23,Budget FY2024,0.032258065
202410,2024-01-24,Budget FY2024,0.032258065
202410,2024-01-25,Budget FY2024,0.032258065
202410,2024-01-26,Budget FY2024,0.032258065
202410,2024-01-27,Budget FY2024,0.032258065
202410,2024-01-28,Budget FY2024,0.032258065
202410,2024-01-29,Budget FY2024,0.032258065
202410,2024-01-30,Budget FY2024,0.032258065
202410,2024-01-31,Budget FY2024,0.032258065
202411,2024-02-01,Budget FY2024,0.035714286
202411,2024-02-02,Budget FY2024,0.035714286
202411,2024-02-03,Budget FY2024,0.035714286
202411,2024-02-04,Budget FY2024,0.035714286
202411,2024-02-05,Budget FY2024,0.035714286
202411,2024-02-06,Budget FY2024,0.035714286
202411,2024-02-07,Budget FY2024,0.035714286
202411,2024-02-08,Budget FY2024,0.035714286
202411,2024-02-09,Budget FY2024,0.035714286
202411,2024-02-10,Budget FY2024,0.035714286
202411,2024-02-11,Budget FY2024,0.035714286
202411,2024-02-12,Budget FY2024,0.035714286
202411,2024-02-13,Budget FY2024,0.035714286
202411,2024-02-14,Budget FY2024,0.035714286
202411,2024-02-15,Budget FY2024,0.035714286
202411,2024-02-16,Budget FY2024,0.035714286
202411,2024-02-17,Budget FY2024,0.035714286
202411,2024-02-18,Budget FY2024,0.035714286
202411,2024-02-19,Budget FY2024,0.035714286
202411,2024-02-20,Budget FY2024,0.035714286
202411,2024-02-21,Budget FY2024,0.035714286
202411,2024-02-22,Budget FY2024,0.035714286
202411,2024-02-23,Budget FY2024,0.035714286
202411,2024-02-24,Budget FY2024,0.035714286
202411,2024-02-25,Budget FY2024,0.035714286
202411,2024-02-26,Budget FY2024,0.035714286
202411,2024-02-27,Budget FY2024,0.035714286
202411,2024-02-28,Budget FY2024,0.035714286
202411,2024-02-29,Budget FY2024,0.032258065
202412,2024-03-01,Budget FY2024,0.032258065
202412,2024-03-02,Budget FY2024,0.032258065
202412,2024-03-03,Budget FY2024,0.032258065
202412,2024-03-04,Budget FY2024,0.032258065
202412,2024-03-05,Budget FY2024,0.032258065
202412,2024-03-06,Budget FY2024,0.032258065
202412,2024-03-07,Budget FY2024,0.032258065
202412,2024-03-08,Budget FY2024,0.032258065
202412,2024-03-09,Budget FY2024,0.032258065
202412,2024-03-10,Budget FY2024,0.032258065
202412,2024-03-11,Budget FY2024,0.032258065
202412,2024-03-12,Budget FY2024,0.032258065
202412,2024-03-13,Budget FY2024,0.032258065
202412,2024-03-14,Budget FY2024,0.032258065
202412,2024-03-15,Budget FY2024,0.032258065
202412,2024-03-16,Budget FY2024,0.032258065
202412,2024-03-17,Budget FY2024,0.032258065
202412,2024-03-18,Budget FY2024,0.032258065
202412,2024-03-19,Budget FY2024,0.032258065
202412,2024-03-20,Budget FY2024,0.032258065
202412,2024-03-21,Budget FY2024,0.032258065
202412,2024-03-22,Budget FY2024,0.032258065
202412,2024-03-23,Budget FY2024,0.032258065
202412,2024-03-24,Budget FY2024,0.032258065
202412,2024-03-25,Budget FY2024,0.032258065
202412,2024-03-26,Budget FY2024,0.032258065
202412,2024-03-27,Budget FY2024,0.032258065
202412,2024-03-28,Budget FY2024,0.032258065
202412,2024-03-29,Budget FY2024,0.032258065
202412,2024-03-30,Budget FY2024,0.032258065
202301,2022-04-01,Budget_FY23,0.033333333
202301,2022-04-02,Budget_FY23,0.033333333
202301,2022-04-03,Budget_FY23,0.033333333
202301,2022-04-04,Budget_FY23,0.033333333
202301,2022-04-05,Budget_FY23,0.033333333
202301,2022-04-06,Budget_FY23,0.033333333
202301,2022-04-07,Budget_FY23,0.033333333
202301,2022-04-08,Budget_FY23,0.033333333
202301,2022-04-09,Budget_FY23,0.033333333
202301,2022-04-10,Budget_FY23,0.033333333
202301,2022-04-11,Budget_FY23,0.033333333
202301,2022-04-12,Budget_FY23,0.033333333
202301,2022-04-13,Budget_FY23,0.033333333
202301,2022-04-14,Budget_FY23,0.033333333
202301,2022-04-15,Budget_FY23,0.033333333
202301,2022-04-16,Budget_FY23,0.033333333
202301,2022-04-17,Budget_FY23,0.033333333
202301,2022-04-18,Budget_FY23,0.033333333
202301,2022-04-19,Budget_FY23,0.033333333
202301,2022-04-20,Budget_FY23,0.033333333
202301,2022-04-21,Budget_FY23,0.033333333
202301,2022-04-22,Budget_FY23,0.033333333
202301,2022-04-23,Budget_FY23,0.033333333
202301,2022-04-24,Budget_FY23,0.033333333
202301,2022-04-25,Budget_FY23,0.033333333
202301,2022-04-26,Budget_FY23,0.033333333
202301,2022-04-27,Budget_FY23,0.033333333
202301,2022-04-28,Budget_FY23,0.033333333
202301,2022-04-29,Budget_FY23,0.033333333
202301,2022-04-30,Budget_FY23,0.033333333
202302,2022-05-01,Budget_FY23,0.032258065
202302,2022-05-02,Budget_FY23,0.032258065
202302,2022-05-03,Budget_FY23,0.032258065
202302,2022-05-04,Budget_FY23,0.032258065
202302,2022-05-05,Budget_FY23,0.032258065
202302,2022-05-06,Budget_FY23,0.032258065
202302,2022-05-07,Budget_FY23,0.032258065
202302,2022-05-08,Budget_FY23,0.032258065
202302,2022-05-09,Budget_FY23,0.032258065
202302,2022-05-10,Budget_FY23,0.032258065
202302,2022-05-11,Budget_FY23,0.032258065
202302,2022-05-12,Budget_FY23,0.032258065
202302,2022-05-13,Budget_FY23,0.032258065
202302,2022-05-14,Budget_FY23,0.032258065
202302,2022-05-15,Budget_FY23,0.032258065
202302,2022-05-16,Budget_FY23,0.032258065
202302,2022-05-17,Budget_FY23,0.032258065
202302,2022-05-18,Budget_FY23,0.032258065
202302,2022-05-19,Budget_FY23,0.032258065
202302,2022-05-20,Budget_FY23,0.032258065
202302,2022-05-21,Budget_FY23,0.032258065
202302,2022-05-22,Budget_FY23,0.032258065
202302,2022-05-23,Budget_FY23,0.032258065
202302,2022-05-24,Budget_FY23,0.032258065
202302,2022-05-25,Budget_FY23,0.032258065
202302,2022-05-26,Budget_FY23,0.032258065
202302,2022-05-27,Budget_FY23,0.032258065
202302,2022-05-28,Budget_FY23,0.032258065
202302,2022-05-29,Budget_FY23,0.032258065
202302,2022-05-30,Budget_FY23,0.032258065
202302,2022-05-31,Budget_FY23,0.032258065
202303,2022-06-01,Budget_FY23,0.033333333
202303,2022-06-02,Budget_FY23,0.033333333
202303,2022-06-03,Budget_FY23,0.033333333
202303,2022-06-04,Budget_FY23,0.033333333
202303,2022-06-05,Budget_FY23,0.033333333
202303,2022-06-06,Budget_FY23,0.033333333
202303,2022-06-07,Budget_FY23,0.033333333
202303,2022-06-08,Budget_FY23,0.033333333
202303,2022-06-09,Budget_FY23,0.033333333
202303,2022-06-10,Budget_FY23,0.033333333
202303,2022-06-11,Budget_FY23,0.033333333
202303,2022-06-12,Budget_FY23,0.033333333
202303,2022-06-13,Budget_FY23,0.033333333
202303,2022-06-14,Budget_FY23,0.033333333
202303,2022-06-15,Budget_FY23,0.033333333
202303,2022-06-16,Budget_FY23,0.033333333
202303,2022-06-17,Budget_FY23,0.033333333
202303,2022-06-18,Budget_FY23,0.033333333
202303,2022-06-19,Budget_FY23,0.033333333
202303,2022-06-20,Budget_FY23,0.033333333
202303,2022-06-21,Budget_FY23,0.033333333
202303,2022-06-22,Budget_FY23,0.033333333
202303,2022-06-23,Budget_FY23,0.033333333
202303,2022-06-24,Budget_FY23,0.033333333
202303,2022-06-25,Budget_FY23,0.033333333
202303,2022-06-26,Budget_FY23,0.033333333
202303,2022-06-27,Budget_FY23,0.033333333
202303,2022-06-28,Budget_FY23,0.033333333
202303,2022-06-29,Budget_FY23,0.033333333
202303,2022-06-30,Budget_FY23,0.033333333
202304,2022-07-01,Budget_FY23,0.032258065
202304,2022-07-02,Budget_FY23,0.032258065
202304,2022-07-03,Budget_FY23,0.032258065
202304,2022-07-04,Budget_FY23,0.032258065
202304,2022-07-05,Budget_FY23,0.032258065
202304,2022-07-06,Budget_FY23,0.032258065
202304,2022-07-07,Budget_FY23,0.032258065
202304,2022-07-08,Budget_FY23,0.032258065
202304,2022-07-09,Budget_FY23,0.032258065
202304,2022-07-10,Budget_FY23,0.032258065
202304,2022-07-11,Budget_FY23,0.032258065
202304,2022-07-12,Budget_FY23,0.032258065
202304,2022-07-13,Budget_FY23,0.032258065
202304,2022-07-14,Budget_FY23,0.032258065
202304,2022-07-15,Budget_FY23,0.032258065
202304,2022-07-16,Budget_FY23,0.032258065
202304,2022-07-17,Budget_FY23,0.032258065
202304,2022-07-18,Budget_FY23,0.032258065
202304,2022-07-19,Budget_FY23,0.032258065
202304,2022-07-20,Budget_FY23,0.032258065
202304,2022-07-21,Budget_FY23,0.032258065
202304,2022-07-22,Budget_FY23,0.032258065
202304,2022-07-23,Budget_FY23,0.032258065
202304,2022-07-24,Budget_FY23,0.032258065
202304,2022-07-25,Budget_FY23,0.032258065
202304,2022-07-26,Budget_FY23,0.032258065
202304,2022-07-27,Budget_FY23,0.032258065
202304,2022-07-28,Budget_FY23,0.032258065
202304,2022-07-29,Budget_FY23,0.032258065
202304,2022-07-30,Budget_FY23,0.032258065
202304,2022-07-31,Budget_FY23,0.032258065
202305,2022-08-01,Budget_FY23,0.032258065
202305,2022-08-02,Budget_FY23,0.032258065
202305,2022-08-03,Budget_FY23,0.032258065
202305,2022-08-04,Budget_FY23,0.032258065
202305,2022-08-05,Budget_FY23,0.032258065
202305,2022-08-06,Budget_FY23,0.032258065
202305,2022-08-07,Budget_FY23,0.032258065
202305,2022-08-08,Budget_FY23,0.032258065
202305,2022-08-09,Budget_FY23,0.032258065
202305,2022-08-10,Budget_FY23,0.032258065
202305,2022-08-11,Budget_FY23,0.032258065
202305,2022-08-12,Budget_FY23,0.032258065
202305,2022-08-13,Budget_FY23,0.032258065
202305,2022-08-14,Budget_FY23,0.032258065
202305,2022-08-15,Budget_FY23,0.032258065
202305,2022-08-16,Budget_FY23,0.032258065
202305,2022-08-17,Budget_FY23,0.032258065
202305,2022-08-18,Budget_FY23,0.032258065
202305,2022-08-19,Budget_FY23,0.032258065
202305,2022-08-20,Budget_FY23,0.032258065
202305,2022-08-21,Budget_FY23,0.032258065
202305,2022-08-22,Budget_FY23,0.032258065
202305,2022-08-23,Budget_FY23,0.032258065
202305,2022-08-24,Budget_FY23,0.032258065
202305,2022-08-25,Budget_FY23,0.032258065
202305,2022-08-26,Budget_FY23,0.032258065
202305,2022-08-27,Budget_FY23,0.032258065
202305,2022-08-28,Budget_FY23,0.032258065
202305,2022-08-29,Budget_FY23,0.032258065
202305,2022-08-30,Budget_FY23,0.032258065
202305,2022-08-31,Budget_FY23,0.032258065
202306,2022-09-01,Budget_FY23,0.033333333
202306,2022-09-02,Budget_FY23,0.033333333
